log_text,component,failure_mode,component_id,failure_mode_id
operator says assembly bearings smoikng slightly today.,Bearing Assembly,Heat Dissipation Failure,3,1
"somthing grinding in the belts area, check for random shutdown, no.",Drive Belt,Random Failure,0,4
Standard check: v-belt shut down with unexplained error code ERR-404 during run.,Drive Belt,Random Failure,0,4
"oil everywhere near the hpu, suspect fuse pop, power.",Hydraulic Pump,Power Failure,1,2
Maintenance log: CNC spindle electrical fault.,CNC Spindle,Power Failure,2,2
"Standard check: chuck temp is way too hot, casing is smoking during run.",CNC Spindle,Heat Dissipation Failure,2,1
operator says blt smkoing slightly today.,Drive Belt,Heat Dissipation Failure,0,1
"thing near pump unit tool worn down to the nub, replace now.",Hydraulic Pump,Tool Wear Failure,1,0
"vibrating way more than normal near the tension pulley, mains power failure,.",Drive Belt,Power Failure,0,2
CRITICAL: housign glitchy connection immediately!,Motor Housing,Random Failure,4,4
"pressure gauge making wierd noise, feels like random failure code.",Hydraulic Pump,Random Failure,1,4
hpu stalled under heavy.,Hydraulic Pump,Overstrain Failure,1,3
"Standard check: shaft bearing power failure, electrical breaker tripped in the cabinet during run.",Bearing Assembly,Power Failure,3,2
"thing near bearings area is jammed, high torque reading triggered emergency stop.",Bearing Assembly,Overstrain Failure,3,3
CRITICAL: spindle unit is completely worn immediately!,CNC Spindle,Tool Wear Failure,2,0
"The fluid line hot. Operations are affected, check ASAP.",Hydraulic Pump,Heat Dissipation Failure,1,1
operator says motor casing stops randomly today.,Motor Housing,Random Failure,4,4
"The back unit hot. Operations are affected, check ASAP.",Motor Housing,Heat Dissipation Failure,4,1
"Maintenance log: belts severe overheating, ventilation duct is blocked.",Drive Belt,Heat Dissipation Failure,0,1
CRITICAL: hydraulic unit abnormal heat immediately!,Hydraulic Pump,Heat Dissipation Failure,1,1
"weird smell from the casing unit, possibly electrical arc damage.",Motor Housing,Power Failure,4,2
"oil everywhere near the v-belt, suspect excessive wear on.",Drive Belt,Tool Wear Failure,0,0
Inspection reveals that the hydraulics worn out.,Hydraulic Pump,Tool Wear Failure,1,0
housing unit stuck.,Motor Housing,Overstrain Failure,4,3
CRITICAL: tensioner dull blade / immediately!,Drive Belt,Tool Wear Failure,0,0
"somthing grinding in the spindle assembly area, check for thermal runaway warning,.",CNC Spindle,Heat Dissipation Failure,2,1
"CRITICAL: motor area jammed drive, motor immediately!",Motor Housing,Overstrain Failure,4,3
"operator says cnc head tool wear min is maexd out, cutting surface is damaged today.",CNC Spindle,Tool Wear Failure,2,0
"Operator reports: 'housing shield electrical fault, voltage supply lines went dead.'",Motor Housing,Power Failure,4,2
operator says motor csaing tool is warn out completely today.,Motor Housing,Tool Wear Failure,4,0
the bearign assembly is dull again. please check.,Bearing Assembly,Tool Wear Failure,3,0
"weird smell from the tensioner unit, possibly smoke coming from.",Drive Belt,Heat Dissipation Failure,0,1
"somthing grinding in the spindle casing area, check for seized shaft, gears.",CNC Spindle,Overstrain Failure,2,3
"spindle motor cant hold pressure, seems like overheating alert, cooling.",CNC Spindle,Heat Dissipation Failure,2,1
"oil everywhere near the hpu, suspect excessive wear on.",Hydraulic Pump,Tool Wear Failure,1,0
"Warning: bearign unexplained behavior, machine stops randomly and smells weird.",Bearing Assembly,Random Failure,3,4
Warning: bearings power out and smells weird.,Bearing Assembly,Power Failure,3,2
"Maintenance log: outer shell severe overheating, ventilation duct is blocked.",Motor Housing,Heat Dissipation Failure,4,1
"Standard check: chuck severe mechanical stress, spindle seized up during run.",CNC Spindle,Overstrain Failure,2,3
CRITICAL: bearings area blown fuse in immediately!,Bearing Assembly,Power Failure,3,2
"The fluid line breaker tripped. Operations are affected, check ASAP.",Hydraulic Pump,Power Failure,1,2
"thing near bearings area experiencing severe pitting, tool wear min reading is at maximum.",Bearing Assembly,Tool Wear Failure,3,0
"keeps stopping every few minutes, chuck is stalled mid-operation, high.",CNC Spindle,Overstrain Failure,2,3
"bearing block cant hold pressure, seems like smells like burning.",Bearing Assembly,Heat Dissipation Failure,3,1
"housing unit making wierd noise, feels like blown power relay,.",Motor Housing,Power Failure,4,2
"bearing kit thermal runaway warning,.",Bearing Assembly,Heat Dissipation Failure,3,1
"CRITICAL: poly-v belt lost power completely, immediately!",Drive Belt,Power Failure,0,2
"the bearings is is jammed, high torque reading triggered emergency stop again. please check.",Bearing Assembly,Overstrain Failure,3,3
Inspection reveals that the cnc head no power.,CNC Spindle,Power Failure,2,2
"keeps stopping every few minutes, bearign is thermal overload tripped.",Bearing Assembly,Heat Dissipation Failure,3,1
"keeps stopping every few minutes, belt area is severe overheating, ventilation.",Drive Belt,Heat Dissipation Failure,0,1
"weird smell from the spindle unit, possibly random error, control.",CNC Spindle,Random Failure,2,4
"weird smell from the bearing kit unit, possibly random error, control.",Bearing Assembly,Random Failure,3,4
"somthing grinding in the bearing housing area, check for sudden voltage drop,.",Bearing Assembly,Power Failure,3,2
"The belt power failure, electrical breaker tripped in the cabinet. Operations are affected, check ASAP.",Drive Belt,Power Failure,0,2
"leaking or snapped near the casing shield, complete blackout in suspected.",Motor Housing,Power Failure,4,2
"bearing kit random shutdown, no.",Bearing Assembly,Random Failure,3,4
Warning: motor housing thermal overload and smells weird.,Motor Housing,Heat Dissipation Failure,4,1
"keeps stopping every few minutes, spindle unit is no voltage reading.",CNC Spindle,Power Failure,2,2
"operator says casing shield voltag sugre tripped the breaker, no power to the HPU today.",Motor Housing,Power Failure,4,2
operator says blt friction overload today.,Drive Belt,Overstrain Failure,0,3
"somthing grinding in the spindle assembly area, check for tool is dull.",CNC Spindle,Tool Wear Failure,2,0
Warning: motor housing cannot rotate and smells weird.,Motor Housing,Overstrain Failure,4,3
"weird smell from the belt unit, possibly stalled under torque.",Drive Belt,Overstrain Failure,0,3
"Standard check: back unit tool wear min critical, pitting visible on the contact point during run.",Motor Housing,Tool Wear Failure,4,0
"operator says conveyor blt tool wear min is mxaed out, cutting surface is damaged today.",Drive Belt,Tool Wear Failure,0,0
"the bearings is is hot to the touch, smoke coming out of housing again. please check.",Bearing Assembly,Heat Dissipation Failure,3,1
"Inspection reveals that the CNC spindle is completely worn out, tool wear value is critical.",CNC Spindle,Tool Wear Failure,2,0
"thing near outer shell temperature spike detected, cooling fan seems broken.",Motor Housing,Heat Dissipation Failure,4,1
the blt area is smoking again. please check.,Drive Belt,Heat Dissipation Failure,0,1
"thing near bearings area random glitch, machine rebooted spontaneously.",Bearing Assembly,Random Failure,3,4
Operator reports: 'spindle casing lost power.',CNC Spindle,Power Failure,2,2
"the hydrualic unit is intermittent communication loss, control panel fault again. please check.",Hydraulic Pump,Random Failure,1,4
"Inspection reveals that the bearing assembly is completely seized and jammed, motor stalled under load.",Bearing Assembly,Overstrain Failure,3,3
"Maintenance log: bearing block random trip, control interface lost connection.",Bearing Assembly,Random Failure,3,4
"its hot and shaking alot near the CNC spindle, check for temperature spiked to.",CNC Spindle,Heat Dissipation Failure,2,1
"weird smell from the pump unit, possibly random error, control.",Hydraulic Pump,Random Failure,1,4
"oil everywhere near the housign, suspect glitch in sensor.",Motor Housing,Random Failure,4,4
"its hot and shaking alot near the hydraulics, check for electrical fault, voltage.",Hydraulic Pump,Power Failure,1,2
"thing near pump unit hot casing, smoke visible, cooling system down.",Hydraulic Pump,Heat Dissipation Failure,1,1
"vibrating way more than normal near the tension pulley, temp is way.",Drive Belt,Heat Dissipation Failure,0,1
the hydraulics area is smoking again. please check.,Hydraulic Pump,Heat Dissipation Failure,1,1
"vibrating way more than normal near the hydrualic pump, temp sensor reading.",Hydraulic Pump,Heat Dissipation Failure,1,1
"Inspection reveals that the bearing assembly is overheating rapidly, thermal camera shows 95C.",Bearing Assembly,Heat Dissipation Failure,3,1
"vibrating way more than normal near the chuck motor, intermittent connection faults,.",CNC Spindle,Random Failure,2,4
"keeps stopping every few minutes, spindle unit is dull cutting tool,.",CNC Spindle,Tool Wear Failure,2,0
"somthing grinding in the motor housing area, check for power fluctuation, voltage.",Motor Housing,Power Failure,4,2
"keeps stopping every few minutes, motor casing is dull cutting tool,.",Motor Housing,Tool Wear Failure,4,0
"leaking or snapped near the CNC spindle, blown power relay, suspected.",CNC Spindle,Power Failure,2,2
"Standard check: hydraulics area severe mechanical stress, spindle seized up during run.",Hydraulic Pump,Overstrain Failure,1,3
"weird smell from the fluid line unit, possibly unidentified glitch, controller.",Hydraulic Pump,Random Failure,1,4
CRITICAL: hydraulic unit is completely worn immediately!,Hydraulic Pump,Tool Wear Failure,1,0
"operator says hydraulics uenxplained sensor fautl, error code ERR-502 today.",Hydraulic Pump,Random Failure,1,4
"somthing grinding in the spindle casing area, check for tool wear is.",CNC Spindle,Tool Wear Failure,2,0
"leaking or snapped near the casing shield, random emergency loop suspected.",Motor Housing,Random Failure,4,4
"thing near conveyor jammed housing, torque spikes to max.",Drive Belt,Overstrain Failure,0,3
"CRITICAL: bearing block lost power completely, immediately!",Bearing Assembly,Power Failure,3,2
"The back unit looks worn. Operations are affected, check ASAP.",Motor Housing,Tool Wear Failure,4,0
"weird smell from the casing unit, possibly stalled under torque.",Motor Housing,Overstrain Failure,4,3
"Maintenance log: belts torque reading exceeded 85 Nm, mechanical jam detected.",Drive Belt,Overstrain Failure,0,3
